fact_id,category,crop,pest_or_disease,district,date_or_period,advisory_text,pesticide_name,active_ingredient,formulation,explicit_dose_text,safety_text,quality_control_status,source_report_title,source_report_year,source_filename,source_page,source_section,source_excerpt,extraction_status,confidence,reviewed
fact_00011,pesticide_quality_control,cotton; wheat; rice; sugarcane; maize; vegetables; pulses,,,,"2
PREAMBLE
The Annual Report 2024–25 of the Directorate General Pest Warning & Quality Control of Pesticides, Punjab, highlights
the Department’s major activities, achievements and strategic initiatives undertaken during the year. This department
played a vital role in safeguarding Punjab’s agriculture through systematic pest surveillance, early detection and timely
pest alerts, ensuring effective protection of major crops including Wheat, Cotton, Rice, Sugarcane, Maize, Gram,
orchards and vegetables across the province. Aggressive anti-pest campaigns were carried out during both Rabi and
Kharif seasons for effective pest management to minimize crop losses and promote sustainable production.",,,,,,,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,2,Annual Report,"2
PREAMBLE
The Annual Report 2024–25 of the Directorate General Pest Warning & Quality Control of Pesticides, Punjab, highlights
the Department’s major activities, achievements and strategic initiatives undertaken during the year. This department
played a vital role in safeguarding Punjab’s agriculture through systematic pest surveillance, early detection and timely
pest alerts, ensuring effective protection of major crops including Wheat, Cotton, Rice, Sugarcane, Maize, Gram,
orchards and vegetables across the province. Aggressive anti-pest campaigns were carried out during both Rabi and
Kharif seasons for effective pest management to minimize crop losses and promote sustainable production.",extracted,0.85,false
fact_00012,pesticide_quality_control,,,Multan,,"Simultaneously, this department strengthened its regulatory framework to ensure provision of quality pesticides
through a network of 176 Pesticide Inspectors operating under the Agricultural Pesticides Ordinance, 1971 (amended
2012), and the Punjab Agriculture Pesticide Rules, 2018. Pesticide Anti-adulteration campaigns based on random
pesticide sampling, intelligence based raids were conducted to curb the sale of substandard products, protect farmers’
interests and maintain the integrity of the pesticide market across Punjab.",,,,,,non-compliant sample,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,2,Annual Report,"Simultaneously, this department strengthened its regulatory framework to ensure provision of quality pesticides
through a network of 176 Pesticide Inspectors operating under the Agricultural Pesticides Ordinance, 1971 (amended
2012), and the Punjab Agriculture Pesticide Rules, 2018. Pesticide Anti-adulteration campaigns based on random
pesticide sampling, intelligence based raids were conducted to curb the sale of substandard products, protect farmers’
interests and maintain the integrity of the pesticide market across Punjab.",extracted,0.8,false
fact_00013,pesticide_safety,rice; vegetables,,,,"During 2024–25, this Directorate General also achieved a significant milestone through the successful execution of the
ADP project titled “Mitigating Emerging Issues of Pesticide Residues in Rice and Vegetables.” The project’s effective
implementation led to remarkable reduction in pesticide residue interceptions in export consignments from 71 in 2024
to only 19 in 2025 reflecting substantial improvement in compliance with international food safety standards. This
success contributed to record-breaking rice exports valued at approximately $ 4 billion.",,,,,"During 2024–25, this Directorate General also achieved a significant milestone through the successful execution of the
ADP project titled “Mitigating Emerging Issues of Pesticide Residues in Rice and Vegetables.” The project’s effective
implementation led to remarkable reduction in pesticide residue",,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,2,Annual Report,"During 2024–25, this Directorate General also achieved a significant milestone through the successful execution of the
ADP project titled “Mitigating Emerging Issues of Pesticide Residues in Rice and Vegetables.” The project’s effective
implementation led to remarkable reduction in pesticide residue interceptions in export consignments from 71 in 2024
to only 19 in 2025 reflecting substantial improvement in compliance with international food safety standards. This
success contributed to record-breaking rice exports valued at approximately $ 4 billion.",extracted,0.85,false
fact_00014,general_agricultural_advisory,,,,,"The department’s effort was
commended and acknowledged during the 63rd meeting of the Agricultural Pesticide Technical Advisory Committee
(APTAC), which recommended its replication in other provinces of Pakistan.",,,,,,,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,2,Annual Report,"The department’s effort was
commended and acknowledged during the 63rd meeting of the Agricultural Pesticide Technical Advisory Committee
(APTAC), which recommended its replication in other provinces of Pakistan.",extracted,0.6,false
fact_00015,general_agricultural_advisory,rice; sugarcane; maize; citrus; mango; pulses,,,2024-25,"Pest Surveillance Report of Rice ___________________________________________ 12
Pesticide Residue Management Plan for Rice Crop 2024-25 __________________________ 14
Stakeholder Session on Enhancing the Production of Exportable Rice in Punjab __________ 19
iv. Pest Surveillance Report of Sugarcane ______________________________________ 20
v. Pest Surveillance Report of Maize ____________________________________________ 22
vi. Pest Surveillance Report of Gram __________________________________________ 24
vii. Pest Surveillance Report of Citrus __________________________________________ 25
viii. Pest Surveillance Report of Mango _________________________________________ 28
ix.",,,,,,,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,3,Table Of Contents,"Pest Surveillance Report of Rice ___________________________________________ 12
Pesticide Residue Management Plan for Rice Crop 2024-25 __________________________ 14
Stakeholder Session on Enhancing the Production of Exportable Rice in Punjab __________ 19
iv. Pest Surveillance Report of Sugarcane ______________________________________ 20
v. Pest Surveillance Report of Maize ____________________________________________ 22
vi. Pest Surveillance Report of Gram __________________________________________ 24
vii. Pest Surveillance Report of Citrus __________________________________________ 25
viii. Pest Surveillance Report of Mango _________________________________________ 28
ix.",extracted,0.7,false
fact_00016,pesticide_quality_control,vegetables,,,2024-25,"Pest Surveillance Report of Guava __________________________________________ 31
x. Pest Surveillance Report of Vegetables _______________________________________ 33
2. QUALITY CONTROL OF PESTICIDES __________________________ 34
i. Punjab Launches Crackdown on Illegal Pesticide Manufacturers ____________________ 36
ii. Capacity Building Of Pesticides Dealers _______________________________________ 38
iii. Registration of Pesticide Distributors ________________________________________ 38
3. DEVELOPMENT PROJECT ___________________________________ 39
4. KEY ACHIEVEMENTS OF THE DEPARTMENT FOR THE FISCAL YEAR 2024-25 43",,,,,,,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,3,Table Of Contents,"Pest Surveillance Report of Guava __________________________________________ 31
x. Pest Surveillance Report of Vegetables _______________________________________ 33
2. QUALITY CONTROL OF PESTICIDES __________________________ 34
i. Punjab Launches Crackdown on Illegal Pesticide Manufacturers ____________________ 36
ii. Capacity Building Of Pesticides Dealers _______________________________________ 38
iii. Registration of Pesticide Distributors ________________________________________ 38
3. DEVELOPMENT PROJECT ___________________________________ 39
4. KEY ACHIEVEMENTS OF THE DEPARTMENT FOR THE FISCAL YEAR 2024-25 43",extracted,0.85,false
fact_00017,pesticide_quality_control,,,,,"4
INTRODUCTION
The Directorate General of Pest Warning & Quality Control of Pesticides is a
specialized wing for Plant Protection of the Punjab Agriculture Department. This is responsible for
monitoring pest and implementing plant protection activities across the entire province. Its
mandate includes pest surveillance & management, forecasting, timely advisories to farmers,
capacity building of farmers, Extension workers and pesticide dealers along with strict regulation
and enforcement against spurious or substandard pesticides.",,,,,,non-compliant sample,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,4,Introduction,"4
INTRODUCTION
The Directorate General of Pest Warning & Quality Control of Pesticides is a
specialized wing for Plant Protection of the Punjab Agriculture Department. This is responsible for
monitoring pest and implementing plant protection activities across the entire province. Its
mandate includes pest surveillance & management, forecasting, timely advisories to farmers,
capacity building of farmers, Extension workers and pesticide dealers along with strict regulation
and enforcement against spurious or substandard pesticides.",extracted,0.75,false
fact_00018,pest_warning,cotton; rice; sugarcane,,,,"By promoting integrated pest
management, safe pesticide use, the department plays a vital role in safeguarding food security,
improving crop productivity and supporting sustainable agriculture in the Punjab province. Mandate and Functions
Pest Surveillance & Forecasting – Regular pest surveillance of all field crops like Cotton,
Rice, Sugarcane etc. across Punjab to detect pest infestations and disease incidence. Provision of on spot farmer trainings and advisories, pest alerts, bulk messages (What’s
app groups, Facebook, print/electronic media, and digital platforms).",,,,,,,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,4,Introduction,"By promoting integrated pest
management, safe pesticide use, the department plays a vital role in safeguarding food security,
improving crop productivity and supporting sustainable agriculture in the Punjab province. Mandate and Functions
Pest Surveillance & Forecasting – Regular pest surveillance of all field crops like Cotton,
Rice, Sugarcane etc. across Punjab to detect pest infestations and disease incidence. Provision of on spot farmer trainings and advisories, pest alerts, bulk messages (What’s
app groups, Facebook, print/electronic media, and digital platforms).",extracted,0.85,false
fact_00019,pesticide_safety,,,,,"Quality Control of Pesticides – Regulating pesticide business through enforcement of
Punjab Agricultural Pesticide Act 2012 (Amended) and Rules 2018 to ensure the provision
of quality pesticides to the farmers. Capacity Building – Capacity building of pesticide dealers on safe handling, storage,
transportation and use of pesticides for the provision of both fresh and renewal pesticide
licenses. Moreover, farmers, Agri Extension agents and pesticide dealer’s trainings are also
being conducted in the pesticide markets on hazardous pesticides, MRLs, PHI etc.",,,,,"Moreover, farmers, Agri Extension agents and pesticide dealer’s trainings are also
being conducted in the pesticide markets on hazardous pesticides, MRLs, PHI etc.",,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,4,Introduction,"Quality Control of Pesticides – Regulating pesticide business through enforcement of
Punjab Agricultural Pesticide Act 2012 (Amended) and Rules 2018 to ensure the provision
of quality pesticides to the farmers. Capacity Building – Capacity building of pesticide dealers on safe handling, storage,
transportation and use of pesticides for the provision of both fresh and renewal pesticide
licenses. Moreover, farmers, Agri Extension agents and pesticide dealer’s trainings are also
being conducted in the pesticide markets on hazardous pesticides, MRLs, PHI etc.",extracted,0.75,false
fact_00020,pesticide_quality_control,,,,,"Registration of Pesticide Distributors – Conducting inspections of pesticide distributor,
infrastructures and operations for registration as pesticides distributors in Punjab. Research & Standardization – Conducting research trials on any plant protection issues &
pesticide efficacy and safety to standardize pesticide doses for specific pest and crop.",,,,,"Research & Standardization – Conducting research trials on any plant protection issues &
pesticide efficacy and safety to standardize pesticide doses for specific pest and crop.",,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,4,Introduction,"Registration of Pesticide Distributors – Conducting inspections of pesticide distributor,
infrastructures and operations for registration as pesticides distributors in Punjab. Research & Standardization – Conducting research trials on any plant protection issues &
pesticide efficacy and safety to standardize pesticide doses for specific pest and crop.",extracted,0.75,false
fact_00021,pesticide_quality_control,rice; pulses,,Bahawalpur; Faisalabad; Gujranwala; Lahore; Multan; Rawalpindi; Sahiwal; Sargodha,,"5
ORGANOGRAM
ORGANOGRAM
DIRECTOR GENERAL OF AGRI. (PWQCP)
(BS-20)
Addl. Director Addl. Director Addl. Director
Addl. Director Addl. Director
General Agri. General Agri. General Agri. General Agri. General Agri. (PW&QCP), (PW&QCP), (PW&QCP),
(PW&QCP), HQ
(PW&QCLahore Central Zone, South Zone Registration
Lahore
P), Rice Zone, Faisalabad Multan Lahore
(BS-20) (BS-20)
(BS-20) (BS-20) (BS-20)
Director of Agri. Director of Agri. Director of Agri. Director of Agri.
(PP)
(PP), Lahore, (PP), Faisalabad, (PP), Multan,
Deputy Director
Gujranwala and Rawalpindi and D.G.Khanand 1. HQ
of Agri. (PP),
Sahiwal Sargodha Bahawalpur
2. Technical
divisions divisions divisions (BS-18)
3.",,,,,,,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,5,Organogram,"5
ORGANOGRAM
ORGANOGRAM
DIRECTOR GENERAL OF AGRI. (PWQCP)
(BS-20)
Addl. Director Addl. Director Addl. Director
Addl. Director Addl. Director
General Agri. General Agri. General Agri. General Agri. General Agri. (PW&QCP), (PW&QCP), (PW&QCP),
(PW&QCP), HQ
(PW&QCLahore Central Zone, South Zone Registration
Lahore
P), Rice Zone, Faisalabad Multan Lahore
(BS-20) (BS-20)
(BS-20) (BS-20) (BS-20)
Director of Agri. Director of Agri. Director of Agri. Director of Agri.
(PP)
(PP), Lahore, (PP), Faisalabad, (PP), Multan,
Deputy Director
Gujranwala and Rawalpindi and D.G.Khanand 1. HQ
of Agri. (PP),
Sahiwal Sargodha Bahawalpur
2. Technical
divisions divisions divisions (BS-18)
3.",extracted,0.9,false
fact_00022,general_agricultural_advisory,cotton; wheat; rice; sugarcane; maize; vegetables; pulses,,,,"7
1. PEST SURVEILLANCE & FORECASTING
 Directorate General conducts regular pest monitoring through field surveys
by 124 pest scouting teams and covers all field crops (cotton, rice, wheat,
sugarcane, maize, gram etc.) and orchards/vegetables. On the basis of pest
surveillance data, pest forecasts & advisories are issued to farming
community and all the stakeholders. Pest scouting reports are consolidated
on weekly and fortnightly basis for decision-making & farmer guidance.
 Random and fixed field surveys of crops are carried out for pest/disease
incidence by utilizing different monitoring tools including light traps,
Pheromone traps and sticky traps.
i.",,,,,,,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,7,1. Pest Surveillance & Forecasting,"7
1. PEST SURVEILLANCE & FORECASTING
 Directorate General conducts regular pest monitoring through field surveys
by 124 pest scouting teams and covers all field crops (cotton, rice, wheat,
sugarcane, maize, gram etc.) and orchards/vegetables. On the basis of pest
surveillance data, pest forecasts & advisories are issued to farming
community and all the stakeholders. Pest scouting reports are consolidated
on weekly and fortnightly basis for decision-making & farmer guidance.
 Random and fixed field surveys of crops are carried out for pest/disease
incidence by utilizing different monitoring tools including light traps,
Pheromone traps and sticky traps.
i.",extracted,0.7,false
fact_00023,crop_disease_warning,wheat,aphid; rust,,,"Pest Surveillance Report of Wheat
Wheat is a major Rabi crop. During 2024–25, it covered an area of 16.252 million acres in Punjab. Pest scouting and surveillance activities were conducted to assess the pest and disease situation. The findings indicated varying levels of pest hotspots and disease incidence across different
districts of Punjab during the Rabi season 2024–25.
“Aphid (Feb–Mar) & Wheat Rust (Mar) were the major pests during the wheat crop season”
Pest surveillance of wheat crop by field teams",,,,,"“Aphid (Feb–Mar) & Wheat Rust (Mar) were the major pests during the wheat crop season”
Pest surveillance of wheat crop by field teams",,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,7,1. Pest Surveillance & Forecasting,"Pest Surveillance Report of Wheat
Wheat is a major Rabi crop. During 2024–25, it covered an area of 16.252 million acres in Punjab. Pest scouting and surveillance activities were conducted to assess the pest and disease situation. The findings indicated varying levels of pest hotspots and disease incidence across different
districts of Punjab during the Rabi season 2024–25.
“Aphid (Feb–Mar) & Wheat Rust (Mar) were the major pests during the wheat crop season”
Pest surveillance of wheat crop by field teams",extracted,0.85,false
fact_00024,crop_disease_warning,wheat,rust; mildew,,2024-25,"8
M
D
J
F
M
A
P
o n t h
e c e m b e
a n u a r y
e b r u a r y
a r c h
p r il
e
r
s t S i t u a t i o n o f W h e a t i n P u n j a b d u r i n g 2 0 2 4 -
A
2 5
p0
.
0 .
0 .
0 .
0 .
h0
0
2
6
0
( A
i0
0
1
0
0
b
d
o v e E T L )
Disease incidence of Wheat in Punjab during 2024-25
Month Smut BrownRust Yellow Rust Powdery Mildew Others
January 0.01 0.08 0.05 0.00 0.00
February 0.17 0.18 1.06 0.01 0.01
March 1.84 1.03 4.03 0.04 0.03
April 0.75 0.72 0.87 0.00 0.05
Pest alert for Wheat Rust issued by the
department for timely rust Management",,,,,,,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,8,1. Pest Surveillance & Forecasting,"8
M
D
J
F
M
A
P
o n t h
e c e m b e
a n u a r y
e b r u a r y
a r c h
p r il
e
r
s t S i t u a t i o n o f W h e a t i n P u n j a b d u r i n g 2 0 2 4 -
A
2 5
p0
.
0 .
0 .
0 .
0 .
h0
0
2
6
0
( A
i0
0
1
0
0
b
d
o v e E T L )
Disease incidence of Wheat in Punjab during 2024-25
Month Smut BrownRust Yellow Rust Powdery Mildew Others
January 0.01 0.08 0.05 0.00 0.00
February 0.17 0.18 1.06 0.01 0.01
March 1.84 1.03 4.03 0.04 0.03
April 0.75 0.72 0.87 0.00 0.05
Pest alert for Wheat Rust issued by the
department for timely rust Management",extracted,0.85,false
