district_id,district_name,normalized_district,geojson_match_status,geometry_type,vertex_count,lon_min,lon_max,lat_min,lat_max,centroid_lon,centroid_lat,satellite_aggregation_eligible,audit_reason
dist_023,Narowal,Narowal District,matched,Polygon,1120,74.5951,75.3815,31.9215,32.4972,74.9457,32.2171,True,Authoritative boundary polygon available in ArcGIS GeoJSON.
dist_024,Okara,Okara District,missing_in_geojson,None,0,,,,,,,False,Known ArcGIS Punjab boundary incompleteness. Nearest-centroid grid fallback strictly prohibited for satellite zonal statistics.
dist_025,Pakpattan,Pakpattan District,matched,Polygon,3050,72.811,73.6221,29.9969,30.6541,73.1978,30.398,True,Authoritative boundary polygon available in ArcGIS GeoJSON.
dist_026,Rahim Yar Khan,Rahim Yar Khan District,matched,MultiPolygon,1312,69.4688,71.1192,27.7051,29.2301,70.1681,28.5087,True,Authoritative boundary polygon available in ArcGIS GeoJSON.
dist_027,Rajanpur,Rajanpur District,matched,Polygon,1453,69.3214,70.7276,28.4071,29.9485,70.1438,29.2877,True,Authoritative boundary polygon available in ArcGIS GeoJSON.
dist_028,Rawalpindi,Rawalpindi District,matched,Polygon,5657,72.6317,73.6405,33.062,34.0182,73.2037,33.5598,True,Authoritative boundary polygon available in ArcGIS GeoJSON.
dist_029,Sahiwal,Sahiwal District,matched,Polygon,3950,72.3857,73.3433,30.1716,30.9314,72.9105,30.5468,True,Authoritative boundary polygon available in ArcGIS GeoJSON.
dist_030,Sargodha,Sargodha District,matched,Polygon,2357,72.2162,73.3003,31.5717,32.5919,72.7515,32.0997,True,Authoritative boundary polygon available in ArcGIS GeoJSON.
dist_031,Sheikhupura,Sheikhupura District,matched,Polygon,1708,73.2632,74.7007,31.3468,32.0684,74.1061,31.7031,True,Authoritative boundary polygon available in ArcGIS GeoJSON.
dist_032,Sialkot,Sialkot District,matched,Polygon,1767,74.1986,74.9473,32.0471,32.8425,74.5907,32.4399,True,Authoritative boundary polygon available in ArcGIS GeoJSON.
dist_033,Toba Tek Singh,Toba Tek Singh District,matched,Polygon,2161,72.1386,72.8393,30.5271,31.3785,72.5599,30.836,True,Authoritative boundary polygon available in ArcGIS GeoJSON.
dist_034,Vehari,Vehari District,matched,Polygon,2246,71.7385,72.9716,29.5848,30.3679,72.3731,30.0407,True,Authoritative boundary polygon available in ArcGIS GeoJSON.
