date,year,month,season,NDVI_mean,NDWI_mean,rainfall_mean_mm_per_day,rainfall_total_mm,temp_max_c,temp_mean_c,temp_min_c,soil_moisture_0_7cm,soil_moisture_7_28cm,bare_km2,built_km2,crops_km2,flooded_vegetation_km2,grass_km2,shrub_and_scrub_km2,snow_and_ice_km2,trees_km2,water_km2,ndvi_change_monthly,ndwi_change_monthly,soil_moisture_change,rainfall_anomaly,temperature_anomaly,landcover_total_km2,coverage_quality,data_quality_flag,year_to_date
2025-07-01,2025,7,Summer,0.27645977242551073,-0.30108304346999204,5.5315093947465686,171.47679121881293,40.10269191163138,31.976560499462057,25.409930396278522,0.2048119376849465,0.20843580114628316,73630.04023247538,22164.257375633395,21266.601374582413,901.8458199696037,990.7556965205023,2778.253045116188,834.8929463719616,22012.136141964853,17809.12296614526,0.066438,-0.017437,0.089980,24.178,-1.240,162387.9,poor,ok,complete
2025-08-01,2025,8,Summer,0.34258353426867466,-0.35278663310025765,4.214254925830248,130.6419026358786,38.865961642626054,31.127469399083978,24.334102874294363,0.19852021333838776,0.20628567973648956,65068.923956781226,26090.262432711734,50650.16665917906,2697.406301599308,2045.210473898561,5480.107300829874,94.65017504656448,21829.092672570456,16040.551583708875,0.066124,-0.051704,-0.006292,-22.691,0.614,189996.4,moderate,ok,complete
2025-09-01,2025,9,Summer,0.39175070433106957,-0.4065625366114174,1.7305052132363388,51.91515637780414,37.39312000176576,29.75586581502743,23.13944737264017,0.19631148750444177,0.23143235970927326,49089.48613622216,32364.74620272019,89196.14525643442,1004.9012905682443,443.77986483046243,8780.471507558681,0.37111113769531245,15792.184854235895,8520.356485842934,0.049167,-0.053776,-0.002209,5.121,-0.463,205192.4,good,ok,complete
2025-10-01,2025,10,Autumn,0.3363812052983615,-0.38314866489777016,0.3409757958166297,10.570249675397516,36.26742334330308,25.49742107102473,16.764744754263983,0.14289327161326051,0.18027406381204186,50633.21367043962,31857.33679938614,89365.16397154957,443.7060692012783,553.3668503210968,7953.752184207688,4.090730747070312,19391.023691212453,4990.788742482869,-0.055369,0.023414,-0.053418,2.647,-1.215,205192.4,good,ok,complete
2025-11-01,2025,11,Autumn,0.27474844907778745,-0.3412057508605216,0.07478283954826616,2.2434851872170745,31.38727356973603,18.75133238266368,7.486044264683019,0.10618992350538003,0.15040000670581372,51552.3813488278,15361.92869961117,108531.11444173948,256.1059990628399,166.9873312885227,8369.14394850483,19.912538209731146,16696.527094780027,4194.874495148128,-0.061633,0.041943,-0.036703,0.685,-1.547,205149.0,good,ok,complete
2025-12-01,2025,12,Winter,0.3320939059177482,-0.3831117601079688,0.22284638203736515,6.908237845664929,24.757944131015392,15.423358908036569,6.6686424459274445,0.10433558544625596,0.1415133876910792,44510.02731844522,14829.861831545373,112877.31830309008,365.02343271075557,467.2029739877293,9302.288676070546,299.8192485341415,17592.47051413695,4328.854787449708,0.057345,-0.041906,-0.001854,2.487,0.773,204572.9,good,ok,complete
2026-01-01,2026,1,Winter,0.4145875122215509,-0.42797467389037186,0.6136031505521606,19.02169768080092,22.456792596579636,12.150370163724675,2.284082572988734,0.14247932589996135,0.14683241026685528,41320.01721989706,13929.899457032345,106375.11140822328,499.9311609375545,996.9972619554143,7970.695032514992,3390.8523811113228,26948.502938914342,3754.3809958371294,0.082494,-0.044863,0.038144,11.655,-0.584,205186.4,good,ok,year_to_date
2026-02-01,2026,2,Winter,0.4375088457570556,-0.4583421498571626,0.21120063867123004,5.913617883238249,29.745809884091315,18.506655862301947,7.227077448305467,0.12324589736523965,0.15024549990517644,43083.97286561181,17495.698034550547,124072.86326972363,245.91809940599865,195.09943240307868,8491.920730131395,392.72190449325774,7767.976024774694,3446.272348462068,0.022921,-0.030367,-0.019233,-16.793,2.141,205192.4,good,ok,year_to_date
2026-03-01,2026,3,Spring,0.4104683655016821,-0.4404938753649907,1.1422824288693343,35.410755310408426,34.65840774549101,23.23545245169126,13.30246264956327,0.13960681338712408,0.1489928935840065,43887.53045383816,17978.242144353073,114792.68849741004,215.44159109157883,240.57461089566397,9998.210267765515,3.081585434420956,6063.183167876574,3173.3802302597574,-0.027040,0.017848,0.016361,12.767,1.955,196352.3,moderate,ok,year_to_date
2026-04-01,2026,4,Spring,0.2706711293841525,-0.34067357797437864,1.3317101421056914,39.951304251717474,40.105793037550406,26.51662074860917,13.73880707680829,0.1716218664078072,0.18584290746830978,59956.52703480758,22173.446557149717,99168.23187738218,302.6497922053024,273.0362824349678,13320.29683202951,1.6549838108992045,6568.287387603034,3422.1539058554627,-0.139797,0.099820,0.032015,21.090,-1.511,205186.3,good,ok,year_to_date
2026-05-01,2026,5,Spring,0.23174374416872567,-0.3020378165345431,0.7028893169427756,21.7895688190598,44.17030619859562,32.66162522498691,20.98656323019516,0.11076127434520251,0.14059125793904498,84731.80308930158,24912.327825233086,77582.74858457012,76.11892043725162,137.8317966776117,8997.478556601312,0.6366976416015624,5271.045210395393,3482.4520287178248,-0.038927,0.038636,-0.060861,8.972,-0.756,205192.4,good,ok,year_to_date
2026-06-01,2026,6,Summer,0.24085886580816818,-0.30267561194949394,1.0380952330073183,31.142857015090936,43.98740791023601,34.305205851763404,25.37282017220355,0.10407397877479109,0.131155797789796,91513.7182443674,25748.11037209355,68299.99048175632,109.44259930313652,131.91983089529717,8935.144226770506,0.19835514453125,5652.768758578577,4801.1498406571345,0.009115,-0.000638,-0.006687,0.215,-0.779,205192.4,good,ok,year_to_date
2026-07-01,2026,7,Summer,0.26175144473893897,-0.3047248676821342,3.938176681054616,122.08347709831988,41.656781610963584,33.541207760023894,26.08995734012476,0.1482458534263266,0.15502388900390307,96679.01973803338,38241.900660146515,25641.112985901687,1139.8139771149238,317.9262622426811,5520.83172490623,24.146721744167447,17769.36095326503,17061.36401375687,0.020893,-0.002049,0.044172,-25.216,0.325,202395.5,good,ok,year_to_date
2026-08-01,2026,8,Summer,0.36233626879969966,-0.3729957175207864,0.0,0.0,39.355436027858104,32.66275474653317,26.420679887066566,0.16917014534072886,0.18638366547509977,65237.33496892437,30830.618309745,60492.534778570436,1283.8809787029015,932.001139651446,4708.760261784757,46.4930103328852,27074.59523067681,10630.465861326851,0.100585,-0.068271,0.020924,-153.333,2.149,201236.7,moderate,suspicious_rainfall,year_to_date
