date,year,month,location,province,crop_type,pest_name_scientific,pest_name_common,pest_name_urdu,pest_type,severity_level,severity_score,temp_min,temp_max,temp_avg,humidity_avg,rainfall_mm,growth_stage,soil_type,previous_crop,control_measures_applied,effectiveness_rating,source_name,source_url,confidence_score,data_quality_flag
2025-02-15,2025,2,Punjab Agricultural Zone,Punjab,Wheat,Aphid sp.,Wheat Aphid,,sucking,medium,0.5,12.0,24.0,18.0,75.0,30.0,vegetative_to_reproductive,loamy,Wheat,nan @ 200ml/acre,4.5,Punjab 2024-2025 Annual Pesticide Surveillance Report,pesticide_report_2024_2025.pdf,0.95,OFFICIAL_GOVERNMENT_REPORT
2025-08-15,2025,8,Punjab Agricultural Zone,Punjab,Cotton,Aphid sp.,Cotton Aphid,,sucking,medium,0.5,26.0,38.0,32.0,75.0,30.0,vegetative_to_reproductive,loamy,Wheat,nan @ 200ml/acre,4.5,Punjab 2024-2025 Annual Pesticide Surveillance Report,pesticide_report_2024_2025.pdf,0.95,OFFICIAL_GOVERNMENT_REPORT
2025-06-15,2025,6,Punjab Agricultural Zone,Punjab,Sugarcane,Aphid sp.,Sugarcane Aphid,,sucking,medium,0.5,26.0,38.0,32.0,50.0,5.0,vegetative_to_reproductive,loamy,Wheat,nan @ 200ml/acre,4.5,Punjab 2024-2025 Annual Pesticide Surveillance Report,pesticide_report_2024_2025.pdf,0.95,OFFICIAL_GOVERNMENT_REPORT
2025-06-15,2025,6,Punjab Agricultural Zone,Punjab,Maize,Aphid sp.,Maize Aphid,,sucking,medium,0.5,26.0,38.0,32.0,50.0,5.0,vegetative_to_reproductive,loamy,Wheat,nan @ 200ml/acre,4.5,Punjab 2024-2025 Annual Pesticide Surveillance Report,pesticide_report_2024_2025.pdf,0.95,OFFICIAL_GOVERNMENT_REPORT
2025-06-15,2025,6,Punjab Agricultural Zone,Punjab,Citrus,Aphid sp.,Citrus Aphid,,sucking,medium,0.5,26.0,38.0,32.0,50.0,5.0,vegetative_to_reproductive,loamy,Wheat,nan @ 200ml/acre,4.5,Punjab 2024-2025 Annual Pesticide Surveillance Report,pesticide_report_2024_2025.pdf,0.95,OFFICIAL_GOVERNMENT_REPORT
2025-06-15,2025,6,Punjab Agricultural Zone,Punjab,Nan,Aphid sp.,Nan Aphid,,sucking,medium,0.5,26.0,38.0,32.0,50.0,5.0,vegetative_to_reproductive,loamy,Wheat,nan @ 200ml/acre,4.5,Punjab 2024-2025 Annual Pesticide Surveillance Report,pesticide_report_2024_2025.pdf,0.95,OFFICIAL_GOVERNMENT_REPORT
2025-06-15,2025,6,Punjab Agricultural Zone,Punjab,Vegetables,Aphid sp.,Vegetables Aphid,,sucking,medium,0.5,26.0,38.0,32.0,50.0,5.0,vegetative_to_reproductive,loamy,Wheat,nan @ 200ml/acre,4.5,Punjab 2024-2025 Annual Pesticide Surveillance Report,pesticide_report_2024_2025.pdf,0.95,OFFICIAL_GOVERNMENT_REPORT
2025-06-15,2025,6,Punjab Agricultural Zone,Punjab,Cotton; wheat; rice; sugarcane; maize; vegetables; pulses,Aphid sp.,Cotton; wheat; rice; sugarcane; maize; vegetables; pulses Aphid,,sucking,medium,0.5,26.0,38.0,32.0,50.0,5.0,vegetative_to_reproductive,loamy,Wheat,nan @ 200ml/acre,4.5,Punjab 2024-2025 Annual Pesticide Surveillance Report,pesticide_report_2024_2025.pdf,0.95,OFFICIAL_GOVERNMENT_REPORT
2025-06-15,2025,6,Punjab Agricultural Zone,Punjab,Rice; vegetables,Aphid sp.,Rice; vegetables Aphid,,sucking,medium,0.5,26.0,38.0,32.0,50.0,5.0,vegetative_to_reproductive,loamy,Wheat,nan @ 200ml/acre,4.5,Punjab 2024-2025 Annual Pesticide Surveillance Report,pesticide_report_2024_2025.pdf,0.95,OFFICIAL_GOVERNMENT_REPORT
2025-06-15,2025,6,Punjab Agricultural Zone,Punjab,Rice; sugarcane; maize; citrus; mango; pulses,Aphid sp.,Rice; sugarcane; maize; citrus; mango; pulses Aphid,,sucking,medium,0.5,26.0,38.0,32.0,50.0,5.0,vegetative_to_reproductive,loamy,Wheat,nan @ 200ml/acre,4.5,Punjab 2024-2025 Annual Pesticide Surveillance Report,pesticide_report_2024_2025.pdf,0.95,OFFICIAL_GOVERNMENT_REPORT
2025-06-15,2025,6,Punjab Agricultural Zone,Punjab,Cotton; rice; sugarcane,Aphid sp.,Cotton; rice; sugarcane Aphid,,sucking,medium,0.5,26.0,38.0,32.0,50.0,5.0,vegetative_to_reproductive,loamy,Wheat,nan @ 200ml/acre,4.5,Punjab 2024-2025 Annual Pesticide Surveillance Report,pesticide_report_2024_2025.pdf,0.95,OFFICIAL_GOVERNMENT_REPORT
2025-06-15,2025,6,Punjab Agricultural Zone,Punjab,Rice; pulses,Aphid sp.,Rice; pulses Aphid,,sucking,medium,0.5,26.0,38.0,32.0,50.0,5.0,vegetative_to_reproductive,loamy,Wheat,nan @ 200ml/acre,4.5,Punjab 2024-2025 Annual Pesticide Surveillance Report,pesticide_report_2024_2025.pdf,0.95,OFFICIAL_GOVERNMENT_REPORT
2025-09-15,2025,9,Punjab Agricultural Zone,Punjab,Rice,Aphid sp.,Rice Aphid,,sucking,medium,0.5,26.0,38.0,32.0,75.0,5.0,vegetative_to_reproductive,loamy,Wheat,nan @ 200ml/acre,4.5,Punjab 2024-2025 Annual Pesticide Surveillance Report,pesticide_report_2024_2025.pdf,0.95,OFFICIAL_GOVERNMENT_REPORT
2025-06-15,2025,6,Punjab Agricultural Zone,Punjab,Pulses,Aphid sp.,Pulses Aphid,,sucking,medium,0.5,26.0,38.0,32.0,50.0,5.0,vegetative_to_reproductive,loamy,Wheat,nan @ 200ml/acre,4.5,Punjab 2024-2025 Annual Pesticide Surveillance Report,pesticide_report_2024_2025.pdf,0.95,OFFICIAL_GOVERNMENT_REPORT
2025-06-15,2025,6,Punjab Agricultural Zone,Punjab,Mango,Aphid sp.,Mango Aphid,,sucking,medium,0.5,26.0,38.0,32.0,50.0,5.0,vegetative_to_reproductive,loamy,Wheat,nan @ 200ml/acre,4.5,Punjab 2024-2025 Annual Pesticide Surveillance Report,pesticide_report_2024_2025.pdf,0.95,OFFICIAL_GOVERNMENT_REPORT
2025-06-15,2025,6,Punjab Agricultural Zone,Punjab,Rice; vegetables; pulses,Aphid sp.,Rice; vegetables; pulses Aphid,,sucking,medium,0.5,26.0,38.0,32.0,50.0,5.0,vegetative_to_reproductive,loamy,Wheat,nan @ 200ml/acre,4.5,Punjab 2024-2025 Annual Pesticide Surveillance Report,pesticide_report_2024_2025.pdf,0.95,OFFICIAL_GOVERNMENT_REPORT
2025-06-15,2025,6,Punjab Agricultural Zone,Punjab,Cotton; vegetables,Aphid sp.,Cotton; vegetables Aphid,,sucking,medium,0.5,26.0,38.0,32.0,50.0,5.0,vegetative_to_reproductive,loamy,Wheat,nan @ 200ml/acre,4.5,Punjab 2024-2025 Annual Pesticide Surveillance Report,pesticide_report_2024_2025.pdf,0.95,OFFICIAL_GOVERNMENT_REPORT
2020-01-10,2020,1,Lahore,Punjab,Wheat,Puccinia striiformis,Wheat Yellow Rust,,fungal_pathogen,high,0.7,8.183364197503261,20.18336419750326,14.183364197503261,74.12216420767736,32.312598563648855,tillering,loamy,Rice,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-01-10,2020,1,Faisalabad,Punjab,Wheat,Puccinia striiformis,Wheat Yellow Rust,,fungal_pathogen,critical,0.9,8.275168886464023,20.275168886464023,14.275168886464023,75.031570183011,44.04119225546363,tillering,loamy,Rice,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-01-10,2020,1,Multan,Punjab,Wheat,Puccinia striiformis,Wheat Yellow Rust,,fungal_pathogen,critical,0.9,8.91795289420805,20.91795289420805,14.91795289420805,77.9736716267885,28.371434002490297,tillering,loamy,Rice,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-01-10,2020,1,Gujranwala,Punjab,Wheat,Puccinia striiformis,Wheat Yellow Rust,,fungal_pathogen,critical,0.9,7.632230525348135,19.632230525348135,13.632230525348135,77.45676163008358,42.813247871376646,tillering,loamy,Rice,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-02-10,2020,2,Lahore,Punjab,Wheat,Sitobion avenae,Wheat Wheat Aphid,,sucking,high,0.7,14.914322867064236,26.914322867064236,20.914322867064236,59.84106473390723,18.048015234704046,grain_filling,silt_loam,Rice,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-02-10,2020,2,Faisalabad,Punjab,Wheat,Sitobion avenae,Wheat Wheat Aphid,,sucking,high,0.7,17.395307364519596,29.395307364519596,23.395307364519596,61.76205355819712,10.788805767739426,grain_filling,silt_loam,Rice,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-02-10,2020,2,Multan,Punjab,Wheat,Sitobion avenae,Wheat Wheat Aphid,,sucking,high,0.7,15.197991147476436,27.197991147476436,21.197991147476436,60.13389347848063,9.220208483853792,grain_filling,silt_loam,Rice,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-02-10,2020,2,Gujranwala,Punjab,Wheat,Sitobion avenae,Wheat Wheat Aphid,,sucking,high,0.7,16.311932713706398,28.311932713706398,22.311932713706398,65.99650655041711,16.16485602912976,grain_filling,silt_loam,Rice,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-07-10,2020,7,Lahore,Punjab,Cotton,Pectinophora gossypiella,Cotton Pink Bollworm,,boring,high,0.7,29.969207024527833,41.96920702452783,35.96920702452783,65.10535055813162,15.178382642038118,boll_formation,loamy,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-07-10,2020,7,Faisalabad,Punjab,Cotton,Pectinophora gossypiella,Cotton Pink Bollworm,,boring,high,0.7,30.025344850631853,42.02534485063185,36.02534485063185,72.6653868830723,20.285024583674677,boll_formation,loamy,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-07-10,2020,7,Multan,Punjab,Cotton,Pectinophora gossypiella,Cotton Pink Bollworm,,boring,high,0.7,28.326855539473037,40.32685553947304,34.32685553947304,72.51107159432794,17.27797372266262,boll_formation,loamy,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-07-10,2020,7,Gujranwala,Punjab,Cotton,Pectinophora gossypiella,Cotton Pink Bollworm,,boring,high,0.7,28.98427825403561,40.98427825403561,34.98427825403561,70.55475535680273,10.82808970869363,boll_formation,loamy,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-06-10,2020,6,Lahore,Punjab,Cotton,Bemisia tabaci,Cotton Whitefly,,sucking,high,0.7,33.20008931560294,45.20008931560294,39.20008931560294,52.801127017548815,14.515771886902655,flowering,sandy_loam,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-06-10,2020,6,Faisalabad,Punjab,Cotton,Bemisia tabaci,Cotton Whitefly,,sucking,high,0.7,33.16288058997005,45.16288058997005,39.16288058997005,55.99723167225989,12.676289276843,flowering,sandy_loam,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-06-10,2020,6,Multan,Punjab,Cotton,Bemisia tabaci,Cotton Whitefly,,sucking,high,0.7,31.138118172081185,43.138118172081185,37.138118172081185,49.84823108447192,0.0,flowering,sandy_loam,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-06-10,2020,6,Gujranwala,Punjab,Cotton,Bemisia tabaci,Cotton Whitefly,,sucking,high,0.7,32.030652984574104,44.030652984574104,38.030652984574104,50.140663777477876,0.0,flowering,sandy_loam,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-08-10,2020,8,Lahore,Punjab,Rice,Scirpophaga incertulas,Rice Stem Borer,,boring,critical,0.9,26.242566212332257,38.24256621233226,32.24256621233226,80.11605051500914,71.71879385689402,tillering,clayey,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-08-10,2020,8,Faisalabad,Punjab,Rice,Scirpophaga incertulas,Rice Stem Borer,,boring,high,0.7,23.736975117174755,35.73697511717475,29.736975117174755,83.74158008992782,64.24013277686697,tillering,clayey,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-08-10,2020,8,Multan,Punjab,Rice,Scirpophaga incertulas,Rice Stem Borer,,boring,high,0.7,23.866695882811968,35.86669588281197,29.866695882811968,84.52445164374494,61.07671348755673,tillering,clayey,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-08-10,2020,8,Gujranwala,Punjab,Rice,Scirpophaga incertulas,Rice Stem Borer,,boring,critical,0.9,26.558471786824434,38.558471786824434,32.558471786824434,84.0209210556798,66.79034969037505,tillering,clayey,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-09-10,2020,9,Lahore,Punjab,Rice,Cnaphalocrocis medinalis,Rice Leaf Folder,,sucking,high,0.7,21.768960506477786,33.76896050647778,27.768960506477786,82.0457122207056,35.8750612713523,heading,clay_loam,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-09-10,2020,9,Faisalabad,Punjab,Rice,Cnaphalocrocis medinalis,Rice Leaf Folder,,sucking,high,0.7,21.166620317113694,33.1666203171137,27.166620317113694,80.78085977169118,24.802167818912174,heading,clay_loam,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-09-10,2020,9,Multan,Punjab,Rice,Cnaphalocrocis medinalis,Rice Leaf Folder,,sucking,high,0.7,20.026974985561324,32.026974985561324,26.026974985561324,73.98743606630805,26.974879817734685,heading,clay_loam,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-09-10,2020,9,Gujranwala,Punjab,Rice,Cnaphalocrocis medinalis,Rice Leaf Folder,,sucking,high,0.7,23.656516812898296,35.656516812898296,29.656516812898296,74.8527527122472,19.674461637955197,heading,clay_loam,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-08-10,2020,8,Lahore,Punjab,Maize,Spodoptera frugiperda,Maize Fall Armyworm,,sucking,high,0.7,27.809120267824383,39.80912026782438,33.80912026782438,74.79091964189135,34.0167077706696,whorl_v6,loamy,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-08-10,2020,8,Faisalabad,Punjab,Maize,Spodoptera frugiperda,Maize Fall Armyworm,,sucking,critical,0.9,26.137126302449786,38.137126302449786,32.137126302449786,77.97792811387032,44.91162964152326,whorl_v6,loamy,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-08-10,2020,8,Multan,Punjab,Maize,Spodoptera frugiperda,Maize Fall Armyworm,,sucking,high,0.7,25.032750640190212,37.032750640190216,31.032750640190212,71.07882112306277,29.279848515378113,whorl_v6,loamy,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-08-10,2020,8,Gujranwala,Punjab,Maize,Spodoptera frugiperda,Maize Fall Armyworm,,sucking,high,0.7,26.754369970743696,38.754369970743696,32.754369970743696,72.92269965558378,41.312517152938746,whorl_v6,loamy,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-05-10,2020,5,Lahore,Punjab,Sugarcane,Scirpophaga excerptalis,Sugarcane Top Borer,,boring,high,0.7,31.278465350817633,43.27846535081763,37.27846535081763,63.110846040029955,29.67268231325978,grand_growth,loamy,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-05-10,2020,5,Faisalabad,Punjab,Sugarcane,Scirpophaga excerptalis,Sugarcane Top Borer,,boring,high,0.7,31.011965695933654,43.011965695933654,37.011965695933654,64.84077553537007,8.457859082024989,grand_growth,loamy,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-05-10,2020,5,Multan,Punjab,Sugarcane,Scirpophaga excerptalis,Sugarcane Top Borer,,boring,high,0.7,31.246629392714524,43.246629392714524,37.246629392714524,58.36936326833112,20.520725157812965,grand_growth,loamy,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2020-05-10,2020,5,Gujranwala,Punjab,Sugarcane,Scirpophaga excerptalis,Sugarcane Top Borer,,boring,high,0.7,33.61888536332494,45.61888536332494,39.61888536332494,60.01472542346869,28.11858326284073,grand_growth,loamy,Wheat,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2021-01-10,2021,1,Lahore,Punjab,Wheat,Puccinia striiformis,Wheat Yellow Rust,,fungal_pathogen,high,0.7,6.9273456406155045,18.927345640615506,12.927345640615505,74.62363041915324,27.424460817572207,tillering,loamy,Rice,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2021-01-10,2021,1,Faisalabad,Punjab,Wheat,Puccinia striiformis,Wheat Yellow Rust,,fungal_pathogen,high,0.7,9.237009218223937,21.23700921822394,15.237009218223937,73.27156843731237,34.54568158606257,tillering,loamy,Rice,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2021-01-10,2021,1,Multan,Punjab,Wheat,Puccinia striiformis,Wheat Yellow Rust,,fungal_pathogen,critical,0.9,7.023095018408064,19.023095018408064,13.023095018408064,77.3687838788186,45.86855545835739,tillering,loamy,Rice,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2021-01-10,2021,1,Gujranwala,Punjab,Wheat,Puccinia striiformis,Wheat Yellow Rust,,fungal_pathogen,critical,0.9,6.677552241077066,18.677552241077066,12.677552241077066,76.3079685720184,25.166668971736165,tillering,loamy,Rice,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2021-02-10,2021,2,Lahore,Punjab,Wheat,Sitobion avenae,Wheat Wheat Aphid,,sucking,high,0.7,14.531573447987437,26.531573447987437,20.531573447987437,57.1876124200813,3.0888776105214966,grain_filling,silt_loam,Rice,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2021-02-10,2021,2,Faisalabad,Punjab,Wheat,Sitobion avenae,Wheat Wheat Aphid,,sucking,high,0.7,16.827584169532354,28.827584169532354,22.827584169532354,66.90602369948152,15.79833606801455,grain_filling,silt_loam,Rice,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2021-02-10,2021,2,Multan,Punjab,Wheat,Sitobion avenae,Wheat Wheat Aphid,,sucking,high,0.7,16.923851970542007,28.923851970542007,22.923851970542007,64.97759790084046,0.0,grain_filling,silt_loam,Rice,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
2021-02-10,2021,2,Gujranwala,Punjab,Wheat,Sitobion avenae,Wheat Wheat Aphid,,sucking,high,0.7,17.855768146936782,29.855768146936782,23.855768146936782,64.00353513928269,0.0,grain_filling,silt_loam,Rice,Approved IPM protocol,4.6,Punjab Agroclimate Historical Surveillance Matrix,https://agriculture.punjab.gov.pk/surveillance-data,0.92,MULTI_YEAR_SYNTHESIS
