adoption_notes,animal_count,animal_type,average_farm_size,barani_area,canal_and_tubewell_area,canal_area,central_pivot,crop_area,crop_name,crop_share,cultivated_area,diesel_lift_pump,diesel_tubewell,district,drip,electric_lift_pump,electric_tubewell,farm_count,implements_notes,irrigable_not_irrigated_area,irrigated_area,irrigation_method_notes,karez_area,lift_pump_area,lift_pump_count,loan_access,loan_amount_if_available,loan_source,notes,other_irrigation_area,other_power_lift_pump,other_power_tubewell,owner_area_percent,owner_cum_tenant_area_percent,owner_cum_tenant_farm_area,owner_cum_tenant_farms,owner_cum_tenant_farms_percent,owner_farm_area,owner_farms,owner_farms_percent,petrol_lift_pump,petrol_tubewell,sailaba_area,season,solar_lift_pump,solar_tubewell,source_table,source_year,spring_rod_kohi_area,sprinkler,sprinkler_drip_pivot_area,tank_bandat_area,tenant_area_percent,tenant_farm_area,tenant_farms,tenant_farms_percent,total_cropped_area,total_cultivated_area,total_farm_area,total_farms,tractor_count,tractors_owned_cooperative,tractors_owned_individually,tractors_owned_jointly,tubewell_and_lift_pump_total,tubewell_area,tubewell_count,tunnel_area_owner,tunnel_area_owner_cum_tenant,tunnel_area_owner_cum_tenant_percent,tunnel_area_owner_percent,tunnel_area_tenant,tunnel_area_tenant_percent,tunnel_farming,tunnel_farming_area,tunnel_farming_percent_of_farms,uncultivated_area,unirrigated_area,unspecified_irrigation_area
,,,,,,,,106379,Rice/Paddy,13,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Maize (Rabi),1,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Maize (Kharif),3,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Jowar/Bajra/Gram,2,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Barley,0,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,718,Cotton,0,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,113876,Sugarcane,14,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Tobacco,,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Oilseeds,2,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pulses,,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,208714,Fodders,25,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vegetables,3,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1401,Orchards,0,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Other Crops,1,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,33582,Maize (Total),,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,388340,Kharif Crops (Total),,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,436110,Rabi Crops (Total),,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,825850,Total Cropped Area,,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,360070,Wheat,40,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,320682,Rice/Paddy,36,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Maize (Rabi),0,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Maize (Kharif),0,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Jowar/Bajra/Gram,2,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Barley,,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,114,Cotton,,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8886,Sugarcane,1,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Tobacco,,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Oilseeds,1,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pulses,0,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,124537,Fodders,14,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Vegetables,0,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4771,Orchards,1,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Other Crops,4,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4362,Maize (Total),,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,436989,Kharif Crops (Total),,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,448642,Rabi Crops (Total),,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,890401,Total Cropped Area,,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Kharif+Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,890401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,215952,Wheat,51,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,420665,,,,,,,,,,,,,,,,,,,,,,
