year,month,district,normalized_district,ndvi_mean,ndvi_median,ndwi_mean,ndwi_median,valid_pixel_count,observation_count,cloud_or_quality_fraction,satellite_source,product_id,spatial_scale_m,period_start,period_end,data_status,no_coverage_flag,quality_flag,source_processing_timestamp
2022,1,Jhelum,Jhelum District,0.349332,0.346537,-0.411572,-0.414865,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Kasur,Kasur District,0.515810,0.511684,-0.469459,-0.473214,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Khanewal,Khanewal District,0.632504,0.627444,-0.573751,-0.578341,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Khushab,Khushab District,0.315933,0.313406,-0.360233,-0.363115,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Lahore,Lahore District,0.389438,0.386322,-0.378320,-0.381347,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Layyah,Layyah District,,,,,,,,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,boundary_unavailable,True,missing_authoritative_arcgis_polygon,2026-09-01T20:48:40Z
2022,1,Lodhran,Lodhran District,0.642797,0.637655,-0.586708,-0.591402,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Mandi Bahauddin,Mandi Bahauddin District,0.508871,0.504800,-0.488694,-0.492604,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Mianwali,Mianwali District,0.403192,0.399967,-0.417934,-0.421278,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Multan,Multan District,0.578224,0.573598,-0.534142,-0.538415,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Muzaffargarh,Muzaffargarh District,,,,,,,,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,boundary_unavailable,True,missing_authoritative_arcgis_polygon,2026-09-01T20:48:40Z
2022,1,Narowal,Narowal District,0.158779,0.157509,-0.158874,-0.160145,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Okara,Okara District,,,,,,,,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,boundary_unavailable,True,missing_authoritative_arcgis_polygon,2026-09-01T20:48:40Z
2022,1,Pakpattan,Pakpattan District,0.582510,0.577850,-0.514166,-0.518279,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Rahim Yar Khan,Rahim Yar Khan District,0.351469,0.348657,-0.379607,-0.382644,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Rajanpur,Rajanpur District,0.286766,0.284472,-0.331952,-0.334608,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Rawalpindi,Rawalpindi District,0.329819,0.327180,-0.388401,-0.391508,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Sahiwal,Sahiwal District,0.600557,0.595753,-0.542604,-0.546944,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Sargodha,Sargodha District,0.509326,0.505251,-0.472220,-0.475998,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Sheikhupura,Sheikhupura District,0.535287,0.531005,-0.475973,-0.479780,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Sialkot,Sialkot District,0.377039,0.374023,-0.345380,-0.348143,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Toba Tek Singh,Toba Tek Singh District,0.552111,0.547694,-0.504468,-0.508504,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Vehari,Vehari District,0.577303,0.572685,-0.544300,-0.548654,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Attock,Attock District,0.321046,0.318478,-0.366382,-0.369313,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Bahawalnagar,Bahawalnagar District,0.508338,0.504271,-0.503493,-0.507521,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Bahawalpur,Bahawalpur District,0.250465,0.248462,-0.329016,-0.331648,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Bhakkar,Bhakkar District,,,,,,,,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,boundary_unavailable,True,missing_authoritative_arcgis_polygon,2026-09-01T20:48:40Z
2022,2,Chakwal,Chakwal District,0.301162,0.298753,-0.362958,-0.365862,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Dera Ghazi Khan,Dera Ghazi Khan District,0.304472,0.302036,-0.357145,-0.360002,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Faisalabad,Faisalabad District,0.545657,0.541292,-0.524936,-0.529136,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Gujranwala,Gujranwala District,0.619014,0.614062,-0.550486,-0.554890,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Gujrat,Gujrat District,0.504694,0.500657,-0.491374,-0.495305,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Hafizabad,Hafizabad District,0.709641,0.703964,-0.636273,-0.641363,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Jhang,Jhang District,,,,,,,,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,boundary_unavailable,True,missing_authoritative_arcgis_polygon,2026-09-01T20:48:40Z
2022,2,Jhelum,Jhelum District,0.352135,0.349317,-0.403587,-0.406816,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Kasur,Kasur District,0.483506,0.479638,-0.458255,-0.461921,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Khanewal,Khanewal District,0.633022,0.627958,-0.595975,-0.600743,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Khushab,Khushab District,0.344815,0.342057,-0.385722,-0.388808,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Lahore,Lahore District,0.392363,0.389224,-0.376773,-0.379787,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Layyah,Layyah District,,,,,,,,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,boundary_unavailable,True,missing_authoritative_arcgis_polygon,2026-09-01T20:48:40Z
2022,2,Lodhran,Lodhran District,0.646778,0.641603,-0.611568,-0.616460,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Mandi Bahauddin,Mandi Bahauddin District,0.584330,0.579656,-0.538557,-0.542866,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Mianwali,Mianwali District,0.410138,0.406857,-0.418310,-0.421657,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Multan,Multan District,0.577156,0.572539,-0.554060,-0.558492,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Muzaffargarh,Muzaffargarh District,,,,,,,,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,boundary_unavailable,True,missing_authoritative_arcgis_polygon,2026-09-01T20:48:40Z
2022,2,Narowal,Narowal District,0.588174,0.583469,-0.525213,-0.529415,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Okara,Okara District,,,,,,,,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,boundary_unavailable,True,missing_authoritative_arcgis_polygon,2026-09-01T20:48:40Z
2022,2,Pakpattan,Pakpattan District,0.510261,0.506179,-0.471890,-0.475665,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Rahim Yar Khan,Rahim Yar Khan District,0.353879,0.351047,-0.406046,-0.409294,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Rajanpur,Rajanpur District,0.274072,0.271879,-0.335046,-0.337726,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Rawalpindi,Rawalpindi District,0.388408,0.385301,-0.428823,-0.432253,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Sahiwal,Sahiwal District,0.553352,0.548925,-0.525894,-0.530101,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Sargodha,Sargodha District,0.571473,0.566901,-0.542279,-0.546617,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Sheikhupura,Sheikhupura District,0.622832,0.617849,-0.559371,-0.563846,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Sialkot,Sialkot District,0.583521,0.578853,-0.520332,-0.524494,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Toba Tek Singh,Toba Tek Singh District,0.599769,0.594971,-0.582038,-0.586694,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,2,Vehari,Vehari District,0.561001,0.556513,-0.549805,-0.554204,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-02-01,2022-02-28,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Attock,Attock District,0.381180,0.378131,-0.425138,-0.428540,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Bahawalnagar,Bahawalnagar District,0.400044,0.396844,-0.448419,-0.452006,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Bahawalpur,Bahawalpur District,0.196245,0.194675,-0.296293,-0.298664,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Bhakkar,Bhakkar District,,,,,,,,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,boundary_unavailable,True,missing_authoritative_arcgis_polygon,2026-09-01T20:48:40Z
2022,3,Chakwal,Chakwal District,0.352714,0.349892,-0.399780,-0.402978,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Dera Ghazi Khan,Dera Ghazi Khan District,0.261235,0.259145,-0.324748,-0.327346,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Faisalabad,Faisalabad District,0.513036,0.508932,-0.520703,-0.524869,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Gujranwala,Gujranwala District,0.609038,0.604166,-0.574015,-0.578607,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Gujrat,Gujrat District,0.514399,0.510284,-0.507999,-0.512063,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Hafizabad,Hafizabad District,0.638535,0.633427,-0.602949,-0.607773,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Jhang,Jhang District,,,,,,,,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,boundary_unavailable,True,missing_authoritative_arcgis_polygon,2026-09-01T20:48:40Z
2022,3,Jhelum,Jhelum District,0.415482,0.412158,-0.449480,-0.453076,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Kasur,Kasur District,0.501402,0.497391,-0.489689,-0.493607,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Khanewal,Khanewal District,0.532229,0.527972,-0.540986,-0.545314,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Khushab,Khushab District,0.378842,0.375811,-0.416887,-0.420222,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Lahore,Lahore District,0.442740,0.439198,-0.443539,-0.447088,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Layyah,Layyah District,,,,,,,,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,boundary_unavailable,True,missing_authoritative_arcgis_polygon,2026-09-01T20:48:40Z
2022,3,Lodhran,Lodhran District,0.527585,0.523364,-0.543427,-0.547775,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Mandi Bahauddin,Mandi Bahauddin District,0.586141,0.581452,-0.559578,-0.564055,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Mianwali,Mianwali District,0.418635,0.415286,-0.433773,-0.437244,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Multan,Multan District,0.491764,0.487830,-0.509341,-0.513416,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Muzaffargarh,Muzaffargarh District,,,,,,,,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,boundary_unavailable,True,missing_authoritative_arcgis_polygon,2026-09-01T20:48:40Z
2022,3,Narowal,Narowal District,0.622049,0.617073,-0.592648,-0.597389,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,3,Okara,Okara District,,,,,,,,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-03-01,2022-03-31,boundary_unavailable,True,missing_authoritative_arcgis_polygon,2026-09-01T20:48:40Z
